location,location_score,area_sqft,bedrooms,bathrooms,age_years,distance_to_city_km,price_lakhs
Solan,8.4,2277,4,3,9,3.8,232.45
Chamba,6.1,2094,5,4,13,20.1,174.78
Shimla,9.0,753,1,1,34,24.7,62.49
Dharamshala,7.9,916,2,2,4,9.3,138.17
Bilaspur,3.7,2583,1,1,4,21.7,107.91
Solan,9.8,2492,3,3,12,19.2,216.86
Mandi,8.3,2442,3,3,24,22.8,164.37
Solan,8.5,1047,1,1,32,10.9,76.86
Mandi,3.9,2284,4,4,22,3.0,176.41
Shimla,6.2,713,1,1,19,3.4,103.36
Bilaspur,5.6,1004,4,4,34,19.2,96.59
Shimla,9.5,2245,4,4,6,21.7,232.56
Dharamshala,7.5,2659,5,4,36,11.7,208.43
Solan,8.8,2793,1,1,12,2.0,231.65
Mandi,6.1,3936,5,5,11,2.1,306.49
Chamba,4.6,3489,3,2,38,15.2,156.8
Kullu,6.9,1829,5,5,25,23.0,124.64
Shimla,3.4,3239,4,3,17,10.3,182.44
Bilaspur,8.8,834,4,4,13,16.4,154.44
Chamba,7.4,3500,1,1,17,13.8,199.93
Mandi,8.3,1853,4,3,31,22.3,147.18
Bilaspur,5.5,3160,3,2,6,20.9,192.41
Solan,9.8,3897,5,5,6,5.4,336.88
Shimla,9.3,2961,4,4,12,17.1,224.98
Bilaspur,8.4,3720,1,1,19,21.3,214.42
Bilaspur,4.4,535,5,4,32,23.3,39.03
Chamba,6.3,1096,1,1,8,15.0,114.05
Solan,3.3,2691,2,2,31,4.8,153.2
Solan,4.1,2392,2,1,36,14.2,99.94
Kullu,7.8,921,5,5,17,16.8,158.89
Palampur,8.2,3014,1,1,38,7.2,191.79
Bilaspur,9.8,705,5,5,35,24.3,94.88
Bilaspur,5.3,3967,2,2,31,6.1,217.05
Chamba,5.6,1047,4,3,15,22.8,109.0
Bilaspur,6.3,2059,1,1,12,10.9,132.15
Solan,4.3,3381,2,1,34,0.5,184.38
Bilaspur,3.9,2299,4,3,17,13.8,127.5
Shimla,6.3,3103,4,3,1,15.9,207.15
Palampur,4.6,2962,5,4,28,21.8,153.54
Shimla,7.7,3820,5,5,13,13.7,263.76
Chamba,6.1,2123,3,2,37,2.8,146.18
Bilaspur,8.8,3926,2,2,34,23.2,236.37
Dharamshala,7.9,2308,2,2,4,14.4,184.71
Solan,5.2,3626,5,5,36,7.2,238.84
Dharamshala,8.8,3064,4,3,37,22.5,208.13
Dharamshala,8.6,965,5,5,30,3.5,152.27
Dharamshala,5.7,2752,3,2,11,2.9,195.49
Shimla,5.0,3574,3,3,26,13.6,206.14
Solan,7.8,949,5,4,34,15.8,110.95
Shimla,4.0,3435,4,3,32,13.0,189.87
Bilaspur,4.4,869,2,1,17,23.3,59.74
Mandi,3.1,3548,3,2,28,6.9,164.73
Palampur,8.5,3261,2,1,15,24.8,190.92
Shimla,7.7,1030,4,3,10,1.0,167.07
Mandi,7.9,3042,1,1,26,3.4,200.95
Dharamshala,8.5,908,5,5,18,5.0,164.26
Kullu,6.2,2488,5,4,8,2.4,222.13
Mandi,7.0,3733,1,1,26,11.2,209.44
Solan,4.0,1220,4,3,12,21.7,85.77
Mandi,3.8,1108,1,1,23,20.6,46.22
Palampur,7.7,1980,2,1,14,18.7,142.79
Dharamshala,6.3,1790,2,2,35,0.7,153.46
Mandi,7.0,669,3,3,34,21.7,55.69
Shimla,8.4,2095,5,4,18,10.2,193.4
Kullu,7.4,1408,3,3,28,18.4,111.38
Chamba,6.9,935,2,1,7,18.3,100.63
Shimla,6.9,1466,1,1,39,4.8,117.16
Dharamshala,5.1,572,5,5,8,13.1,125.53
Dharamshala,3.2,3702,2,2,34,23.2,141.71
Dharamshala,6.1,3979,3,3,33,6.9,245.12
Mandi,4.5,1786,1,1,7,18.0,113.7
Solan,5.9,3568,2,1,0,24.0,186.81
Solan,9.0,2114,3,3,29,9.3,183.32
Palampur,4.6,3693,5,4,34,10.0,250.24
Palampur,3.4,1105,2,2,28,11.6,67.32
Chamba,5.0,1495,3,2,2,20.3,116.51
Palampur,5.1,3089,5,4,25,11.3,213.44
Chamba,7.6,1270,2,1,15,12.4,107.3
Bilaspur,6.9,3382,2,1,36,5.9,194.06
Solan,8.5,1990,1,1,32,24.7,99.39
Mandi,7.7,1913,5,5,31,22.4,157.89
Shimla,5.8,2086,1,1,16,15.2,118.48
Mandi,8.7,3292,2,1,12,24.0,205.28
Shimla,4.2,519,1,1,32,17.3,8.0
Shimla,3.2,3127,4,3,4,24.0,144.0
Kullu,3.6,3227,2,1,4,4.5,204.28
Mandi,8.1,3374,4,4,2,6.0,259.88
Solan,6.2,3988,4,4,20,22.2,220.07
Mandi,4.1,3237,1,1,3,10.8,162.94
Bilaspur,6.5,2350,2,2,23,9.6,149.81
Bilaspur,4.1,2131,1,1,6,19.0,109.22
Palampur,7.9,1858,1,1,35,15.9,130.16
Dharamshala,6.1,3395,3,3,17,8.9,204.07
Bilaspur,5.7,1874,2,1,3,10.2,139.28
Solan,5.1,2504,1,1,27,10.5,111.04
Palampur,7.4,836,3,3,13,3.6,132.58
Solan,5.5,1610,3,2,10,6.1,146.28
Shimla,3.6,1431,5,4,26,13.7,112.69
Bilaspur,3.8,2022,4,3,38,19.7,68.06
Shimla,9.7,2257,2,1,39,10.8,176.83
Shimla,9.4,3007,3,3,17,9.9,230.97
Shimla,7.9,2011,1,1,33,16.4,108.68
Mandi,4.9,1026,2,1,8,4.4,106.86
Bilaspur,9.8,2407,3,3,33,9.8,210.6
Palampur,8.5,691,1,1,37,5.6,90.31
Mandi,8.0,3471,5,5,20,16.5,239.13
Dharamshala,6.1,3196,3,3,20,3.3,222.22
Palampur,4.9,1288,4,4,22,11.5,105.41
Palampur,3.7,1421,2,1,2,15.1,98.66
Bilaspur,9.3,596,5,4,34,20.9,121.85
Shimla,6.2,1775,2,1,29,18.3,112.42
Solan,4.4,633,5,4,34,23.6,45.37
Shimla,5.1,3777,3,3,4,17.2,236.68
Palampur,7.1,969,4,4,32,9.1,108.42
Solan,4.2,2807,2,1,14,6.2,188.45
Palampur,9.0,2496,5,4,32,1.9,224.43
Dharamshala,8.3,1329,1,1,39,7.3,87.35
Mandi,8.0,3328,1,1,35,3.9,226.68
Shimla,6.0,881,3,3,36,9.5,77.67
Bilaspur,7.4,3603,5,4,4,17.7,263.23
Shimla,7.1,3091,5,5,13,17.5,217.38
Palampur,7.5,2722,5,5,11,8.3,269.66
Palampur,3.6,3578,3,3,20,13.0,210.17
Kullu,5.9,1911,5,4,39,5.8,175.11
Dharamshala,3.3,1485,3,3,27,12.8,84.35
Shimla,6.5,1040,3,2,21,13.0,115.57
Solan,5.3,3735,1,1,32,7.9,189.67
Solan,4.0,1904,4,3,7,6.9,167.58
Mandi,3.7,3402,2,2,26,24.5,131.61
Kullu,7.1,1663,1,1,20,13.7,137.54
Kullu,4.2,3842,2,2,8,14.3,200.07
Kullu,9.5,3545,4,4,25,0.7,288.25
Palampur,7.1,1578,2,1,33,5.0,122.81
Dharamshala,5.4,2203,2,2,33,9.2,132.78
Chamba,7.1,3278,2,1,33,24.2,156.09
Solan,3.2,1291,3,2,32,4.8,88.1
Dharamshala,9.7,582,4,4,18,7.9,146.85
Palampur,6.4,1510,4,4,1,24.8,144.1
Bilaspur,8.5,2567,1,1,38,12.3,177.65
Kullu,3.6,977,2,1,18,8.3,69.21
Dharamshala,6.4,1666,4,3,25,16.0,158.09
Dharamshala,6.4,3715,2,1,0,12.7,248.3
Kullu,9.6,762,1,1,35,24.0,93.45
Mandi,7.0,676,2,2,35,2.5,93.44
Bilaspur,6.3,1983,4,3,37,19.9,102.43
Solan,4.9,544,4,4,6,7.3,99.42
Chamba,5.3,597,1,1,33,20.3,12.23
Chamba,6.6,1140,4,4,24,21.3,91.67
Chamba,6.1,857,1,1,5,21.3,42.92
Palampur,3.2,3338,4,3,22,21.7,170.8
Mandi,8.8,929,3,2,19,18.1,94.55
Kullu,9.3,2332,1,1,25,4.0,202.99
Dharamshala,4.0,2968,2,1,3,1.8,220.35
Kullu,6.9,2690,5,5,22,8.8,210.07
Kullu,3.8,2788,3,3,27,12.6,153.03
Solan,7.7,1752,4,3,28,7.9,161.49
Chamba,5.0,3610,4,4,30,18.7,204.36
Mandi,7.6,740,1,1,25,18.2,52.81
